iter	RMSE
0	8.243311855
1	7.720987008
2	7.26035385
3	6.875433901
4	6.499163488
5	6.179067344
6	5.848904751
7	5.548571277
8	5.290551908
9	5.075057373
10	4.855035458
11	4.668837881
12	4.503109443
13	4.374302225
14	4.237615509
15	4.097716805
16	3.977869349
17	3.867773616
18	3.750086966
19	3.652467934
20	3.56101983
21	3.471774437
22	3.398584887
23	3.318159424
24	3.255347687
25	3.202136226
26	3.128384978
27	3.069171457
28	3.015744254
29	2.958256199
30	2.891000601
31	2.830134973
32	2.788856902
33	2.746604957
34	2.715588527
35	2.666254354
36	2.624023133
37	2.586394323
38	2.55288828
39	2.516821056
40	2.484019972
41	2.450707538
42	2.421639899
43	2.391159663
44	2.364140987
45	2.338209822
46	2.29655654
47	2.271170772
48	2.249440741
49	2.232131526
50	2.209334671
51	2.185838654
52	2.168269432
53	2.14013382
54	2.113625856
55	2.095685059
56	2.078004962
57	2.066012358
58	2.055096483
59	2.029051779
60	2.015069579
61	1.996299071
62	1.973985624
63	1.963440608
64	1.951988409
65	1.928568506
66	1.916411712
67	1.90917793
68	1.899872927
69	1.886689946
70	1.87651276
71	1.866437904
72	1.857352726
73	1.846643536
74	1.82999888
75	1.815443252
76	1.803524066
77	1.789598464
78	1.778019828
79	1.766545658
80	1.756676206
81	1.749186908
82	1.739255887
83	1.725506135
84	1.718379322
85	1.705852468
86	1.695741897
87	1.688879284
88	1.678212637
89	1.671631582
90	1.66640702
91	1.656769771
92	1.650537288
93	1.642589984
94	1.63822489
95	1.631660448
96	1.621568623
97	1.612884519
98	1.58766965
99	1.582195604
100	1.576543182
101	1.570675624
102	1.56138878
103	1.556517553
104	1.547413509
105	1.544548527
106	1.540501021
107	1.537450627
108	1.524264722
109	1.516313427
110	1.512842788
111	1.505267741
112	1.500652538
113	1.496664585
114	1.49250245
115	1.482588492
116	1.475055241
117	1.469698954
118	1.468035981
119	1.456602827
120	1.447138585
121	1.443180467
122	1.431751305
123	1.429115512
124	1.425262255
125	1.420003273
126	1.413031013
127	1.407198462
128	1.401656975
129	1.3969793
130	1.395004359
131	1.393415572
132	1.381519423
133	1.376604305
134	1.371432241
135	1.369188378
136	1.36783519
137	1.346397122
138	1.338652925
139	1.333407198
140	1.330366356
141	1.320313206
142	1.316111051
143	1.313417551
144	1.307628711
145	1.29393648
146	1.28904099
147	1.283305177
148	1.273072607
149	1.2677304
150	1.260484973
151	1.255115114
152	1.249206261
153	1.245862031
154	1.242802943
155	1.24064048
156	1.231966796
157	1.224048463
158	1.220592406
159	1.213644204
160	1.211385803
161	1.208252796
162	1.204404607
163	1.20261272
164	1.199544246
165	1.198647117
166	1.194646178
167	1.188450054
168	1.181418388
169	1.175649807
170	1.173298716
171	1.169170087
172	1.164403706
173	1.162647836
174	1.159707188
175	1.154206693
176	1.148160662
177	1.144298053
178	1.139709202
179	1.136041602
180	1.130257995
181	1.126623791
182	1.125505177
183	1.122866402
184	1.121548841
185	1.107716494
186	1.095634243
187	1.093954021
188	1.09139202
189	1.086130527
190	1.083310039
191	1.080166413
192	1.074809926
193	1.072841785
194	1.070015674
195	1.066359236
196	1.061812581
197	1.058343566
198	1.05655778
199	1.053516185
200	1.049740186
201	1.047319653
202	1.043408937
203	1.042041116
204	1.039718586
205	1.036630919
206	1.035126877
207	1.024485852
208	1.021632341
209	1.018429098
210	1.01206298
211	1.009763572
212	1.006309178
213	1.002269689
214	0.9998003406
215	0.9959735235
216	0.9938925839
217	0.990656048
218	0.9854571623
219	0.9826093625
220	0.9792901559
221	0.9773506511
222	0.9757717235
223	0.9717246516
224	0.9696486627
225	0.964026669
226	0.9633676639
227	0.9612083309
228	0.9585091354
229	0.9553270602
230	0.9522476011
231	0.9506441729
232	0.9490885398
233	0.9478936271
234	0.9419593164
235	0.9381973392
236	0.9373381824
237	0.9353259149
238	0.9338389691
239	0.9308207641
240	0.9296818828
241	0.9281477135
242	0.9251323343
243	0.9231923757
244	0.9226280485
245	0.9201026569
246	0.9177702045
247	0.9147436959
248	0.9122913766
249	0.9067304835
