iter	Passed	Remaining
0	11	2949
1	58	7315
2	93	7687
3	135	8347
4	197	9699
5	231	9433
6	243	8449
7	256	7769
8	270	7240
9	280	6721
10	289	6300
11	303	6011
12	319	5823
13	335	5662
14	345	5412
15	362	5299
16	376	5154
17	386	4985
18	395	4804
19	408	4694
20	418	4559
21	439	4557
22	454	4484
23	461	4343
24	470	4237
25	476	4107
26	488	4031
27	500	3970
28	509	3883
29	522	3831
30	532	3765
31	542	3698
32	558	3672
33	583	3708
34	591	3630
35	603	3590
36	610	3513
37	623	3477
38	634	3431
39	643	3377
40	653	3330
41	665	3298
42	679	3270
43	699	3273
44	714	3255
45	729	3236
46	742	3207
47	752	3168
48	763	3133
49	770	3083
50	783	3055
51	795	3027
52	802	2982
53	814	2956
54	826	2931
55	836	2897
56	848	2874
57	861	2851
58	868	2811
59	880	2788
60	898	2782
61	916	2780
62	926	2750
63	933	2713
64	944	2688
65	952	2654
66	962	2629
67	974	2607
68	983	2579
69	994	2557
70	1005	2536
71	1015	2511
72	1029	2496
73	1041	2478
74	1049	2449
75	1059	2424
76	1077	2421
77	1105	2437
78	1114	2413
79	1125	2391
80	1131	2360
81	1141	2339
82	1158	2330
83	1173	2318
84	1189	2308
85	1225	2337
86	1236	2316
87	1244	2290
88	1255	2271
89	1275	2266
90	1286	2248
91	1297	2227
92	1309	2210
93	1320	2192
94	1329	2169
95	1343	2155
96	1355	2137
97	1369	2124
98	1389	2118
99	1404	2106
100	1417	2090
101	1441	2091
102	1469	2097
103	1491	2094
104	1518	2097
105	1527	2074
106	1538	2056
107	1545	2031
108	1566	2026
109	1575	2005
110	1586	1986
111	1599	1970
112	1607	1948
113	1621	1933
114	1632	1916
115	1638	1892
116	1647	1872
117	1657	1853
118	1669	1838
119	1682	1822
120	1691	1803
121	1702	1786
122	1708	1764
123	1719	1747
124	1730	1730
125	1739	1711
126	1749	1694
127	1757	1675
128	1769	1659
129	1780	1643
130	1786	1622
131	1796	1605
132	1802	1585
133	1812	1568
134	1821	1551
135	1831	1535
136	1843	1520
137	1853	1504
138	1865	1489
139	1877	1475
140	1882	1455
141	1889	1436
142	1899	1421
143	1911	1407
144	1924	1393
145	1930	1375
146	1941	1360
147	1948	1342
148	1957	1327
149	1963	1309
150	1974	1294
151	1990	1283
152	1996	1265
153	2006	1250
154	2015	1235
155	2028	1222
156	2039	1208
157	2049	1193
158	2066	1182
159	2080	1170
160	2089	1155
161	2095	1138
162	2105	1123
163	2111	1107
164	2124	1094
165	2133	1079
166	2141	1064
167	2152	1050
168	2160	1035
169	2172	1022
170	2183	1008
171	2192	994
172	2203	980
173	2210	965
174	2221	951
175	2228	937
176	2239	923
177	2257	912
178	2270	900
179	2283	887
180	2298	876
181	2310	863
182	2322	850
183	2333	836
184	2343	823
185	2359	811
186	2374	800
187	2393	789
188	2412	778
189	2422	764
190	2432	751
191	2441	737
192	2450	723
193	2457	709
194	2469	696
195	2475	682
196	2486	668
197	2494	655
198	2502	641
199	2514	628
200	2521	614
201	2532	601
202	2548	589
203	2557	576
204	2570	564
205	2581	551
206	2594	538
207	2604	525
208	2617	513
209	2628	500
210	2634	486
211	2644	473
212	2653	460
213	2666	448
214	2676	435
215	2685	422
216	2696	410
217	2712	398
218	2718	384
219	2728	372
220	2736	359
221	2746	346
222	2766	335
223	2782	322
224	2795	310
225	2807	298
226	2814	285
227	2835	273
228	2847	261
229	2858	248
230	2865	235
231	2876	223
232	2884	210
233	2895	198
234	2905	185
235	2911	172
236	2924	160
237	2938	148
238	2948	135
239	2961	123
240	2972	110
241	2981	98
242	2991	86
243	2997	73
244	3008	61
245	3019	49
246	3040	36
247	3049	24
248	3059	12
249	3071	0
